ID,title,DOI,author,year,journal,abstract
Morales 2021a,Subtyping of Strengths and Difficulties in a Spanish Children Sample: A Latent Class Analysis.,http://doi.org/10.1016/j.jad.2020.11.047,Morales A and Melero S and Tomczyk S and Espada JP and Orgilés M,2021,Journal of affective disorders,"BACKGROUND: Externalizing and internalizing problems are frequent during childhood and are often comorbid. The current study aimed to explore subtypes of strengths and difficulties among Spanish children. METHODS: The Spanish version of the Strengths and Difficulties Questionnaire was administered to 325 children (47.1% girls), aged 7-12 years (M = 9.64; SD = 1.34). Latent Class Analysis (LCA) was carried out to identify risk profiles in children according to their symptoms. ANOVA and multinomial logistic regression were performed to explore associations between latent classes and SDQ subscales, gender, age and number of siblings. RESULTS: Five latent classes were found: ""high difficulties"" (34.2%), ""internalizing"" (5.2%), ""externalizing"" (26.5%), ""hyperactive"" (14.5%), and ""well-adjusted"" (19.7%). Children belonging to ""High difficulties"" group showed the highest scores for emotional symptoms, conduct problems, and hyperactivity/inattention. The most prevalent pure profiles were the ""externalizing"" and ""hyperactivity"" group, which represent children with elevated behavioral problems, restlessness and distraction. Children in the ""internalizing"" class showed the highest risk of peer problems. CONCLUSIONS: These results support the diversity in the patterns of psychological strengths and difficulties and highlight the importance of early detection and intervention, especially in children's behavioral problems, in order to avoid vulnerability to comorbidity and more severe symptoms in the future."
Liu 2021a,Latent class analysis of depression and anxiety among medical students during COVID-19 epidemic.,http://doi.org/10.1186/s12888-021-03459-w,Liu Z and Liu R and Zhang Y and Zhang R and Liang L and Wang Y and Wei Y and Zhu R and Wang F,2021,BMC psychiatry,"OBJECTIVE: The novel coronavirus disease 2019 (COVID-19) is a global public health emergency that has caused worldwide concern. The mental health of medical students under the COVID-19 epidemic has attracted much attention. This study aims to identify subgroups of medical students based on depression and anxiety and explore the influencing factors during the COVID-19 epidemic in China. METHODS: A total of 29,663 medical students were recruited during the epidemic of COVID-19 in China. Depression and anxiety symptoms were assessed using Patient Health Questionnaire 9 (PHQ9) and Generalized Anxiety Disorder 7 (GAD7) respectively. Latent class analysis was performed based on depression and anxiety symptoms in medical students. The latent class subtypes were compared using the chi-square test. Multinomial logistic regression was used to examine associations between identified classes and related factors. RESULTS: In this study, three distinct subgroups were identified, namely, the poor mental health group, the mild mental health group and the low symptoms group. The number of medical students in each class is 4325, 9321 and 16,017 respectively. The multinomial logistic regression results showed that compared with the low symptoms group, the factors influencing depression and anxiety in the poor mental health group and mild mental health group were sex, educational level, drinking, individual psychiatric disorders, family psychiatric disorders, knowledge of COVID-19, fear of being infected, and participate in mental health education on COVID-19. CONCLUSIONS: Our findings suggested that latent class analysis can be used to categorize different medical students according to their depression and anxiety symptoms during the outbreak of COVID-19. The main factors influencing the poor mental health group and the mild mental health group are basic demographic characteristics, disease history, COVID-19 related factors and behavioural lifestyle. School administrative departments can carry out targeted psychological counseling according to different subgroups to promote the physical and mental health of medical students."
Weiss 2021,Symptom profiles of women at risk of mood disorders: A latent class analysis.,http://doi.org/10.1016/j.jad.2021.08.013,Weiss SJ and Flynn H and Christian L and Hantsoo L and di Scalea TL and Kornfield SL and Muzik M and Simeonova DI and Cooper BA and Strahm A and Deligiannidis KM,2021,Journal of affective disorders,"BACKGROUND: Depression is the leading cause of disease burden among women worldwide. However, an understanding of symptom profiles among women at risk of mood disorders is limited. We determined distinct profiles of affective symptoms among high risk women, along with their distinguishing characteristics. METHODS: Women were recruited from 17 clinical sites affiliated with the National Network of Depression Centers. They completed measures of depression (Patient Health Questionnaire - 9) and anxiety (Generalized Anxiety Disorder - 7) as well as questions regarding demographics, reproductive status, behavioral/mental health history, and life stress/adversity. Latent class analysis and multinomial logistic regression were used to identify and characterize symptom profiles. RESULTS: 5792 women participated, ages 18 to 90 (M = 38). Three latent classes were identified: generally asymptomatic (48%), elevated symptoms of comorbid anxiety and depression (16%), and somatic symptoms (36%). Financial security and greater social support were protective factors that distinguished asymptomatic women. The profile of the class with elevated anxiety/depressive symptoms constituted a complex mix of adverse social determinants and potentially heritable clinical features, including a diagnosis of Bipolar Disorder. Women in the 3rd latent class were characterized by menstrual irregularity and a stronger expression of neurovegetative symptoms, especially sleep disturbance and fatigue. LIMITATIONS: Limitations included less than optimal racial diversity of our sample and reliance on self-report. CONCLUSIONS: Different symptom profiles may reflect distinct subtypes of women at risk of mood disorders. Understanding the etiology and mechanisms underlying clinical and psychosocial features of these profiles can inform more precisely targeted interventions to address women's diverse needs."
Almeda 2021,Mental health planning at a very early stage of the COVID-19 crisis: a systematic review of online international strategies and recommendations.,http://doi.org/10.1186/s12888-020-03015-y,Almeda N and García-Alonso C and Salvador-Carulla L,2021,BMC psychiatry,"BACKGROUND: Mental health care systems have been dramatically affected by COVID-19. Containment measures have been imposed, with negative consequences on population mental health. Therefore, an increase in both symptomatology and mental disorder incidence is expected. This research aims to identify, describe and assess the empirical background on online strategies and recommendations developed by international organizations and governments to cope with the psychological impact of COVID-19 at a very early stage of the pandemic. METHODS: The PRISMA guidelines were adapted to review online documents. A new questionnaire was developed to identify the existence of common patterns in the selected documents. Questions were classified into three domains: COVID-19 information, mental health strategies and mental health recommendations. A two-step cluster analysis was carried out to highlight underlying behaviours in the data (patterns). The results are shown as spider graphs (pattern profiles) and conceptual maps (multidimensional links between questions). RESULTS: Twenty-six documents were included in the review. The questionnaire analysed document complexity and identified their common key mental health characteristics (i.e., does the respondent have the tools for dealing with stress, depression and anxiety?). Cluster analysis highlighted patterns from the questionnaire domains. Strong relationships between questions were identified, such as psychological tips for maintaining good mental health and coping with COVID-19 (question n° 4), describing some psychological skills to help people cope with anxiety and worry about COVID-19 (question n° 6) and promoting social connection at home (question n° 8). CONCLUSIONS: When fast results are needed to develop health strategies and policies, rapid reviews associated with statistical and graphical methods are essential. The results obtained from the proposed analytical procedure can be relevant to a) classify documents according to their complexity in structuring the information provided on how to cope with the psychological impact of COVID-19, b) develop new documents according to specific objectives matching population needs, c) improve document design to face unforeseen events, and d) adapt new documents to local situations. In this framework, the relevance of adapting e-mental health procedures to community mental health care model principles was highlighted, although some problems related to the digital gap must be considered."
Li 2021a,Effects of sources of social support and resilience on the mental health of different age groups during the COVID-19 pandemic.,http://doi.org/10.1186/s12888-020-03012-1,Li F and Luo S and Mu W and Li Y and Ye L and Zheng X and Xu B and Ding Y and Ling P and Zhou M and Chen X,2021,BMC psychiatry,"BACKGROUND: A pandemic is a very stressful event, especially for highly vulnerable people (e.g., older adults). The purpose of the current study was to investigate the main and interactive relationships of social support and resilience on individual mental health during the COVID-19 pandemic across three age groups: emerging adults, adults, and older adults. METHODS: A survey was conducted with 23,192 participants aged 18-85. Respondents completed a questionnaire, including items on the COVID-19-related support they perceived from different sources, the abbreviated version of the Connor-Davidson Resilience Scale, and the Mental Health Inventory. RESULTS: Latent profile analysis identified five profiles of social support, and the patterns of potential profiles were similar in all groups. However, category distribution in the five profiles was significantly different among the age groups. Furthermore, analysis using the BCH command showed significant differences in mental health among these profiles. Lastly, interactive analyses indicated resilience had a positive relationship with mental health, and social support served as a buffer against the negative impact of low resilience on mental health. CONCLUSIONS: This study provides quantitative evidence for socioemotional selectivity theory (SST) and enables several practical implications for helping different age groups protecting mental health during pandemic."
Hai 2021,"Trends and correlates of Internet support group participation for mental health problems in the United States, 2004-2018.",http://doi.org/10.1016/j.jpsychires.2020.10.012,Hai AH and Lee CS and Oh S and Vaughn MG and Piñeros-Leaño M and Delva J and Salas-Wright CP,2021,Journal of psychiatric research,"PURPOSE: This study sought to examine the trends in Internet support group (ISG) participation among U.S. adults and to investigate the sociodemographic and behavioral health profiles of ISG participants. METHODS: Data was derived from the National Survey on Drug Use and Health (2004-2018, n = 625,883). Logistic regression was used to examine significance of trend year and correlates of ISG participation. Latent class analysis was conducted to identify subtypes of ISG participants. RESULTS: The proportion of U.S. adults participating in ISG increased significantly from 2.29% (2004-2007) to 3.55% (2016-2018). ISG participants were less likely to be male, 35 or older, be part of an ethnic/racial minority group, or have household incomes between $20,000 and $49,999. Black/African American participants and those classified as ""other"" race showed the largest percent increases, while Hispanics showed no change. ISG participants were more likely to have experienced a depressive episode and to have used cannabis. Three subtypes of ISG participants were identified, including the Lower Behavioral Health Risk group (62%), the Elevated Behavioral Health Risk group (24%), and the Depression, Cigarettes, and Cannabis group (14%). CONCLUSION: Overall, we found an increasing trend in seeking mental health care through ISG among US adults since the early 2000s. While disparities among some disadvantaged groups such as Blacks/African Americans and individuals with lower household income were diminishing, continuing efforts to engage men, older adults, and Hispanics in ISG are needed. This investigation also identified distinct subtypes of ISG participants and provides important implications for future research on ISG."
Morales 2021b,Internalizing and externalizing symptoms in Spanish children aged 6-8: Results of a latent profile analysis.,http://doi.org/10.1016/j.jad.2020.10.066,Morales A and Rodríguez-Menchón M and Tomczyk S and Fernández-Martínez I and Orgilés M and Espada JP,2021,Journal of affective disorders,"BACKGROUND: Internalizing and externalizing problems are widely addressed in research. However, most studies use variable-centred approaches and ignore the possible co-occurrence of both types of symptoms. This study aimed to identify homogeneous groups of children with similar psychological difficulties and strengths, using latent profile analysis as a person-centred approach. METHODS: The parents of 107 Spanish children aged 6 to 8 years completed the Strengths and Difficulties Questionnaire (SDQ). RESULTS: The results revealed the existence of four latent groups. The children who belonged to the high difficulties group showed the most severe symptoms in emotional problems, peer problems and hyperactivity. The children classified in the externalizing group showed high levels of hyperactivity, behavioral problems, and emotional problems. On another hand, the internalizing profile grouped children with emotional and peer problems. Finally, the well-adjusted group showed an adequate psychological adjustment in all evaluated variables. High difficulties were associated with lower educational attainment of their parents. LIMITATIONS: Data were reported from a single source of information, father or mother. Also, the socio-demographic variables that were related to each one of the four profiles only considered the age and educational level of the main informant. CONCLUSIONS: These data suggest that co-occurrence of symptoms is very high in young Spanish children. It is essential to carry out clinical assessments that include both types of symptoms. Considering externalization and internalization as independent and exclusive phenomena can compromise the effectiveness of psychological treatments and preventive programs."
Abbasi-Ghahramanloo 2021,Mental disorders pattern in staff of a military unit in Iran: the role of metabolic syndrome on latent class membership.,http://doi.org/10.1186/s12888-021-03537-z,Abbasi-Ghahramanloo A and Bahadori M and Azad E and Dopeykar N and Mahdizadeh P and Vahedian Azimi A and Amini H,2021,BMC psychiatry,"INTRODUCTION: Mental disorders are among the most prevalent health problems of the adult population in the world. This study aimed to identify the subgroups of staff based on mental disorders and assess the independent role of metabolic syndrome (MetS) on the membership of participants in each latent class. METHODS: This cross-sectional study was conducted among 694 staff of a military unit in Tehran in 2017. All staff of this military unit was invited to participate in this study. The collected data included demographic characteristics, anthropometric measures, blood pressure, biochemical parameters, and mental disorders. We performed latent class analysis using a procedure for latent class analysis (PROC LCA) in SAS to identify class membership of mental disorders using Symptom Checklist-90. RESULTS: Three latent classes were identified as healthy (92.7%), mild (4.9%), and severe (2.4%) mental disorders. Having higher age significantly decreased the odds of belonging to the mild class (adjusted OR (aOR = 0.21; 95% confidence interval (CI): 0.05-0.83) compared to the healthy class. Also, obesity decreased the odds of membership in mild class (aOR = 0.10, 95% CI: 0.01-0.92) compared to healthy class. On the other hand, being female increased the odds of being in severe class (aOR = 9.76; 95% CI: 1.35-70.65) class in comparison to healthy class. CONCLUSION: This study revealed that 7.3% of staff fell under mild and severe classes. Considering educational workshops in the workplace about mental disorders could be effective in enhancing staff's knowledge of these disorders. Also, treatment of comorbid mental disorders may help reduce their prevalence and comorbidity."
Mundal 2021,Exploring patterns in psychiatric outpatients' preferences for involvement in decision-making: a latent class analysis approach.,http://doi.org/10.1186/s12888-021-03137-x,Mundal I and Lara-Cabrera ML and Betancort M and De Las Cuevas C,2021,BMC psychiatry,"BACKGROUND: Shared decision-making (SDM), a collaborative approach that includes and respects patients' preferences for involvement in decision-making about their treatment, is increasingly advocated. However, in the practice of clinical psychiatry, implementing SDM seems difficult to accomplish. Although the number of studies related to psychiatric patients' preferences for involvement is increasing, studies have largely focused on understanding patients in public mental healthcare settings. Thus, investigating patient preferences for involvement in both public and private settings is of particular importance in psychiatric research. The objectives of this study were to identify different latent class typologies of patient preferences for involvement in the decision-making process, and to investigate how patient characteristics predict these typologies in mental healthcare settings. METHODS: We conducted latent class analysis (LCA) to identify groups of psychiatric outpatients with similar preferences for involvement in decision-making to estimate the probability that each patient belonged to a certain class based on sociodemographic, clinical and health belief variables. RESULTS: The LCA included 224 consecutive psychiatric outpatients' preferences for involvement in treatment decisions in public and private psychiatric settings. The LCA identified three distinct preference typologies, two collaborative and one passive, accounting for 78% of the variance. Class 1 (26%) included collaborative men aged 34-44 years with an average level of education who were treated by public services for a depressive disorder, had high psychological reactance, believed they controlled their disease and had a pharmacophobic attitude. Class 2 (29%) included collaborative women younger than 33 years with an average level of education, who were treated by public services for an anxiety disorder, had low psychological reactance or health control belief and had an unconcerned attitude toward medication. Class 3 (45%) included passive women older than 55 years with lower education levels who had a depressive disorder, had low psychological reactance, attributed the control of their disease to their psychiatrists and had a pharmacophilic attitude. CONCLUSIONS: Our findings highlight how psychiatric patients vary in pattern of preferences for treatment involvement regarding demographic variables and health status, providing insight into understanding the pattern of preferences and comprising a significant advance in mental healthcare research."
Soydas 2021,Psychopathology in a treatment-seeking sample of homicidally bereaved individuals: Latent class analysis.,http://doi.org/10.1016/j.jad.2021.05.026,Soydas S and Smid GE and Lenferink LIM and Djelantik AAMJ and Goodfellow B and Wilson R and Boelen PA,2021,Journal of affective disorders,"BACKGROUND: Violently bereaved individuals are at increased risk of developing severe and comorbid disorders. Comorbidity may increase psychiatric symptom severity and suicide risk and decrease psychosocial functioning compared with having one disorder. We aimed to identify subgroups of individuals with similar symptom patterns, describe prevalence rates and overall levels of prolonged grief disorder (PGD), posttraumatic stress disorder (PTSD), major depressive disorder (MDD), and generalized anxiety disorder (GAD) per class, and explore associations between class membership and personal and homicide related variables. METHODS: We investigated the comorbidity of symptoms of PGD, PTSD, MDD, and GAD in a sample of 923 treatment-seeking homicidally bereaved individuals by deploying latent class analysis. RESULTS: Three subgroups were identified: (i) a moderate distress, low depression class (12.4%), (ii) a high distress, moderate depression class (42.7%), and (iii) a high distress and high depression class (45.0%). Prevalence rates and total scores of the questionnaires followed the pattern of iii ≥ ii ≥ i (ps ≤ .001). Being female and having experienced prior life stress distinguished between all classes (ps ≤ .05). LIMITATIONS: The data-driven analytic approach and reliance on self-reported routine outcome monitoring data limit the generalizability and validity of the study. Strengths include the large sample size and the inclusion of four measures in a treatment-seeking, violently bereaved sample. CONCLUSIONS: Classes were most clearly distinguishable based on symptom severity, indicating high comorbidity following bereavement by homicide. This argues for an integrated treatment that targets different complaints simultaneously rather than successively."
